icao24,origin_country,velocity,on_ground
3b19ff,France,0.0,True
780a18,China,248.15,False
780a0d,China,175.76,False
780a0b,China,241.66,False
780a0a,China,122.59,False
4bb204,Turkey,226.94,False
abe09a,United States,274.7,False
4bb212,Turkey,123.48,False
0200af,Morocco,218.73,False
80073f,India,104.06,False
0200ae,Morocco,242.36,False
738325,Israel,31.9,True
780a29,China,270.1,False
4bb20a,Turkey,212.6,False
47c039,Norway,72.83,False
a6f5fc,United States,272.75,False
738330,Israel,9.26,True
4bb20d,Turkey,217.14,False
4bb20c,Turkey,2.06,True
ad45a4,United States,254.29,False
800732,India,195.67,False
a1e132,United States,258.68,False
a13af4,United States,270.96,False
a37ab5,United States,218.9,False
89505c,Brunei Darussalam,232.64,False
780a3e,China,269.66,False
478383,Norway,74.82,False
a07176,United States,251.66,False
800738,India,239.6,False
4bb201,Turkey,235.66,False
780a54,China,248.72,False
847517,Japan,273.66,False
8830ec,Thailand,76.45,False
750094,Malaysia,243.35,False
399e61,France,14.55,False
7395a2,Israel,36.76,False
c013d0,Canada,0.06,True
4bb145,Turkey,310.62,False
4bb142,Turkey,154.48,False
3d57cf,Germany,68.64,False
